opinion_id,case_num,start_paragraph_id,stop_paragraph_id,author_appointment_id,author_last_name,ref_appointment_id,ref_last_name,institution_name,institution_class,opinion_class,opinion_size,panel_size,adopt_clerk,intent_deference,interests_positively_affected,interests_negatively_affected
3846,B 2182-93,6,9,NA,NA,NA,NA,HovR:n över Skåne och Blekinge,appelate,majority,NA,NA,NA,NA,NA,NA
3847,B 2182-93,10,13,NA,NA,NA,NA,HovR:n över Skåne och Blekinge,appelate,minority,NA,NA,NA,NA,NA,NA
3848,B 2182-93,14,18,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,12,0,0
3849,B 2182-93,14,18,"56,51,48,325,38","Heuman,Freyschuss,Beckman,Sterzel,Westlander",51,Freyschuss,Högsta domstolen,final,majority,5,5,1,12,0,0
3850,B 2288-93,2,11,NA,NA,NA,NA,Kalmar TR,first,majority,NA,NA,NA,NA,NA,NA
3851,B 2288-93,12,17,NA,NA,NA,NA,Göta HovR,appelate,majority,NA,NA,NA,NA,NA,NA
3852,B 2288-93,18,21,NA,NA,NA,NA,Göta HovR,appelate,minority,NA,NA,NA,NA,NA,NA
3853,B 2288-93,22,26,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,10,203,401
3854,B 2288-93,27,35,"325,42,41","Sterzel,Munck,Danelius",41,Danelius,Högsta domstolen,final,majority,3,5,0,10,401,203
3855,B 2288-93,36,40,"38,56","Westlander,Heuman",NA,NA,Högsta domstolen,final,minority,2,5,0,0,0,0
3856,B 2327-93,8,18,NA,NA,NA,NA,Stockholms TR,first,majority,NA,NA,NA,NA,NA,NA
3857,B 2327-93,19,26,NA,NA,NA,NA,Svea HovR,appelate,majority,NA,NA,NA,NA,NA,NA
3858,B 2327-93,27,35,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,12,0,0
3859,B 2327-93,36,40,"56,48,325,47,40","Heuman,Beckman,Sterzel,Solerud,Lambe",40,Lambe,Högsta domstolen,final,majority,5,5,0,12,0,0
3860,B 2369-93,2,8,NA,NA,NA,NA,Umeå TR,first,majority,NA,NA,NA,NA,NA,NA
3861,B 2369-93,9,12,NA,NA,NA,NA,HovR:n för Övre Norrland,appelate,majority,NA,NA,NA,NA,NA,NA
3862,B 2369-93,13,22,"64,50,324,43,38","Vängby,Lind,Gad,Törnell,Westlander",43,Törnell,Högsta domstolen,final,majority,5,5,0,12,401,"203,402"
3863,B 2550-93,1,76,NA,NA,NA,NA,Göteborgs TR,first,majority,NA,NA,NA,NA,NA,NA
3864,B 2550-93,77,85,NA,NA,NA,NA,HovR:n för Västra Sverige,appelate,majority,NA,NA,NA,NA,NA,NA
3865,B 2550-93,86,94,NA,NA,NA,NA,HovR:n för Västra Sverige,appelate,minority,NA,NA,NA,NA,NA,NA
3866,B 2550-93,95,118,"52,42,40","Magnusson,Munck,Lambe",42,Munck,Högsta domstolen,final,majority,3,5,0,14,401,0
3867,B 2550-93,119,126,"39,50","Nilsson,Lind",NA,NA,Högsta domstolen,final,minority,2,5,0,12,0,0
3868,B 2860-93,15,51,NA,NA,NA,NA,Uppsala TR,first,majority,NA,NA,NA,NA,NA,NA
3869,B 2860-93,52,68,NA,NA,NA,NA,Svea HovR,appelate,majority,NA,NA,NA,NA,NA,NA
3870,B 2860-93,69,83,"64,52,51,45,37","Vängby,Magnusson,Freyschuss,Beckman,Lennander",45,Beckman,Högsta domstolen,final,majority,5,5,0,12,401,203
3871,B 2944-93,4,18,NA,NA,NA,NA,Sollentuna TR,first,majority,NA,NA,NA,NA,NA,NA
3872,B 2944-93,21,26,NA,NA,NA,NA,Svea HovR,appelate,majority,NA,NA,NA,NA,NA,NA
3873,B 2944-93,27,34,NA,NA,NA,NA,Svea HovR,appelate,minority,NA,NA,NA,NA,NA,NA
3874,B 2944-93,35,44,"64,55,46,43,41","Vängby,Gregow,Nyström,Törnell,Danelius",41,Danelius,Högsta domstolen,final,majority,5,5,0,12,401,0
3875,B 3004-93,1,35,NA,NA,NA,NA,Kalmar TR,first,majority,NA,NA,NA,NA,NA,NA
3876,B 3004-93,36,64,NA,NA,NA,NA,Göta HovR,appelate,majority,NA,NA,NA,NA,NA,NA
